MLS Field Name,MLS Field Description,Grid Field Name,Grid Lookup Name,Grid Values,MLS Lookup Name,MLS Values
AboveGradeFinishedAreaSource,Above Grade Finished Area Source,AboveGradeFinishedAreaSource,AreaSource,Appraiser,AreaSource,Appraiser
AboveGradeFinishedAreaSource,Above Grade Finished Area Source,AboveGradeFinishedAreaSource,AreaSource,Assessor,AreaSource,Assessor
AboveGradeFinishedAreaSource,Above Grade Finished Area Source,AboveGradeFinishedAreaSource,AreaSource,Builder,AreaSource,Builder
AboveGradeFinishedAreaSource,Above Grade Finished Area Source,AboveGradeFinishedAreaSource,AreaSource,Estimated,AreaSource,Estimated
AboveGradeFinishedAreaSource,Above Grade Finished Area Source,AboveGradeFinishedAreaSource,AreaSource,Other,AreaSource,Other
AboveGradeFinishedAreaSource,Above Grade Finished Area Source,AboveGradeFinishedAreaSource,AreaSource,Owner,AreaSource,Owner
AboveGradeFinishedAreaSource,Above Grade Finished Area Source,AboveGradeFinishedAreaSource,AreaSource,Plans,AreaSource,Plans
AboveGradeFinishedAreaSource,Above Grade Finished Area Source,AboveGradeFinishedAreaSource,AreaSource,Public Records,AreaSource,Public Records
AboveGradeFinishedAreaSource,Above Grade Finished Area Source,AboveGradeFinishedAreaSource,AreaSource,See Remarks,AreaSource,See Remarks
AboveGradeFinishedAreaSource,Above Grade Finished Area Source,AboveGradeFinishedAreaSource,AreaSource,Appraiser,AreaSource,Appraiser
AboveGradeFinishedAreaSource,Above Grade Finished Area Source,AboveGradeFinishedAreaSource,AreaSource,Assessor,AreaSource,Assessor
AboveGradeFinishedAreaSource,Above Grade Finished Area Source,AboveGradeFinishedAreaSource,AreaSource,Builder,AreaSource,Builder
AboveGradeFinishedAreaSource,Above Grade Finished Area Source,AboveGradeFinishedAreaSource,AreaSource,Estimated,AreaSource,Estimated
AboveGradeFinishedAreaSource,Above Grade Finished Area Source,AboveGradeFinishedAreaSource,AreaSource,Other,AreaSource,Other
AboveGradeFinishedAreaSource,Above Grade Finished Area Source,AboveGradeFinishedAreaSource,AreaSource,Owner,AreaSource,Owner
AboveGradeFinishedAreaSource,Above Grade Finished Area Source,AboveGradeFinishedAreaSource,AreaSource,Plans,AreaSource,Plans
AboveGradeFinishedAreaSource,Above Grade Finished Area Source,AboveGradeFinishedAreaSource,AreaSource,Public Records,AreaSource,Public Records
AboveGradeFinishedAreaSource,Above Grade Finished Area Source,AboveGradeFinishedAreaSource,AreaSource,See Remarks,AreaSource,See Remarks
